date,signal,instrument,pnl_pts,entry_num,direction,year
2024-12-30,DAX_S2,DAX,56.0,2,SHORT,2024
2024-12-30,DAX_S2,DAX,26.5,3,SHORT,2024
2024-12-31,DAX_S2,DAX,-2.8,1,SHORT,2024
2024-12-31,DAX_S2,DAX,-0.7,2,LONG,2024
2024-12-31,DAX_S2,DAX,-1.3,3,SHORT,2024
2025-01-02,DAX_S2,DAX,-12.6,1,LONG,2025
2025-01-02,DAX_S2,DAX,5.0,2,LONG,2025
2025-01-02,DAX_S2,DAX,-12.6,3,SHORT,2025
2025-01-03,DAX_S2,DAX,-16.0,1,SHORT,2025
2025-01-03,DAX_S2,DAX,13.1,2,SHORT,2025
2025-01-03,DAX_S2,DAX,6.5,3,SHORT,2025
2025-01-06,DAX_S2,DAX,-6.0,1,LONG,2025
2025-01-06,DAX_S2,DAX,8.7,2,LONG,2025
2025-01-06,DAX_S2,DAX,-20.5,3,LONG,2025
2025-01-07,DAX_S2,DAX,-8.5,1,LONG,2025
2025-01-07,DAX_S2,DAX,-18.5,2,SHORT,2025
2025-01-07,DAX_S2,DAX,42.5,3,LONG,2025
2025-01-08,DAX_S2,DAX,-12.0,1,LONG,2025
2025-01-08,DAX_S2,DAX,14.5,2,LONG,2025
2025-01-08,DAX_S2,DAX,1.0,3,LONG,2025
2025-01-09,DAX_S2,DAX,-15.0,1,SHORT,2025
2025-01-09,DAX_S2,DAX,-6.5,2,LONG,2025
2025-01-09,DAX_S2,DAX,-4.6,3,SHORT,2025
2025-01-10,DAX_S2,DAX,13.1,1,SHORT,2025
2025-01-10,DAX_S2,DAX,51.1,2,SHORT,2025
2025-01-10,DAX_S2,DAX,33.8,3,SHORT,2025
2025-01-13,DAX_S2,DAX,1.0,1,LONG,2025
2025-01-13,DAX_S2,DAX,-2.0,2,LONG,2025
2025-01-13,DAX_S2,DAX,-5.5,3,SHORT,2025
2025-01-14,DAX_S2,DAX,-5.9,1,SHORT,2025
2025-01-14,DAX_S2,DAX,14.5,2,LONG,2025
2025-01-14,DAX_S2,DAX,1.0,3,LONG,2025
2025-01-15,DAX_S2,DAX,144.9,1,LONG,2025
2025-01-15,DAX_S2,DAX,148.4,2,LONG,2025
2025-01-15,DAX_S2,DAX,182.9,3,LONG,2025
2025-01-16,DAX_S2,DAX,-22.5,1,LONG,2025
2025-01-16,DAX_S2,DAX,-8.0,2,SHORT,2025
2025-01-16,DAX_S2,DAX,-0.6,3,SHORT,2025
2025-01-17,DAX_S2,DAX,-7.5,1,LONG,2025
2025-01-17,DAX_S2,DAX,-12.5,2,SHORT,2025
2025-01-17,DAX_S2,DAX,-10.5,3,LONG,2025
2025-01-20,DAX_S2,DAX,137.5,1,LONG,2025
2025-01-20,DAX_S2,DAX,134.0,2,LONG,2025
2025-01-20,DAX_S2,DAX,119.5,3,LONG,2025
